t,fx,fy,fz,tx,ty,tz,tau_raw,tau_screw,tau_perp_mag,u,pA,pB
1786016701.6721082,-4.799356460571289,-7.611794948577881,-110.51416015625,1.629690408706665,0.9822325110435486,2.9306557178497314,1.629690408706665,0.48792116641998295,3.09087748743237,0.5009155927655788,20.036623710623154,0.0
1786016701.7220254,-4.679426670074463,-5.95646858215332,-110.59239196777344,1.217362642288208,1.011705994606018,2.6026315689086914,1.217362642288208,0.32389235496520996,2.7923538642159715,0.41679825355800293,16.671930142320118,0.0
1786016701.7720397,-4.01235818862915,-4.723757266998291,-110.41090393066406,0.9493546485900879,1.0779728889465332,2.349646806716919,0.9493546485900879,0.24079105854034422,2.5851239168787923,0.3741822041093538,14.967288164374153,0.0
1786016701.8220186,-3.5207724571228027,-4.533397197723389,-111.08323669433594,0.7942402362823486,1.207911729812622,2.239152431488037,0.7942402362823486,0.11423065662384035,2.5441804885773553,0.30927943389576207,12.371177355830483,0.0
1786016701.8720088,-3.4446487426757812,-4.169396877288818,-111.75381469726562,0.6317404508590698,1.2362436056137085,2.372432231903076,0.6317404508590698,0.006330919265747137,2.6752070849549936,0.2539462352505861,10.157849410023445,0.0
1786016701.9220152,-3.058450222015381,-3.445753812789917,-113.22074890136719,0.4065973460674286,1.3332105875015259,2.451845407485962,0.4065973460674286,-0.11026572585105898,2.790877348225136,0.19415308390863426,7.76612335634537,0.0
1786016701.972023,-1.154174566268921,-2.948920249938965,-114.92037963867188,0.02349519170820713,1.7295804023742676,2.423570156097412,0.02349519170820713,-0.4188428457826376,2.977438608905844,0.03590840702064521,1.4363362808258084,0.0
1786016702.022039,0.1928815394639969,-1.9282422065734863,-115.93920135498047,-0.3535970449447632,2.032440423965454,2.392714262008667,-0.3535970449447632,-0.642833375930786,3.139410074614107,-0.02767648023481554,0.0,1.1070592093926215
1786016702.0713308,2.0591025352478027,-1.3832615613937378,-118.04867553710938,-0.7687001824378967,2.41977596282959,2.4629650115966797,-0.7687001824378967,-0.9761894166469574,3.452754314838706,-0.19862829598669826,0.0,7.945131839467931
1786016702.1213515,3.0761921405792236,-1.207159399986267,-119.82051849365234,-1.1899577379226685,2.5831191539764404,2.594634532928467,-1.1899577379226685,-1.3710316479206086,3.6612337979299934,-0.4011114915116476,0.0,16.044459660465904
